,alpha,beta,gamma,tau,scf_bc,nn_scf_bc
685,4.0,0.7,20.0,1.0,2.129955953,1.9048978
686,13.0,0.7,20.0,1.0,0.8119637447,0.9423287
687,22.0,0.7,20.0,1.0,0.9923440909,1.0752054
688,31.0,0.7,20.0,1.0,1.298860954,1.3241711
689,40.0,0.7,20.0,1.0,1.606178619,1.5409184
690,4.0,0.2,26.0,1.0,0.8533216031,0.76953983
691,13.0,0.2,26.0,1.0,0.1040744416,0.0698951
692,22.0,0.2,26.0,1.0,0.2440404604,0.13774557
693,31.0,0.2,26.0,1.0,0.2650957922,0.17751893
694,40.0,0.2,26.0,1.0,0.285250834,0.21729231
695,4.0,0.3,26.0,1.0,1.254770911,1.0577676
696,13.0,0.3,26.0,1.0,0.06932240107,0.09928224
697,22.0,0.3,26.0,1.0,0.08664256861,0.110894196
698,31.0,0.3,26.0,1.0,0.06590491072,0.14937651
699,40.0,0.3,26.0,1.0,0.04427417005,0.18914996
700,4.0,0.4,26.0,1.0,1.577283885,1.4243834
701,13.0,0.4,26.0,1.0,0.06784358328,0.22173636
702,22.0,0.4,26.0,1.0,0.08581238731,0.21380822
703,31.0,0.4,26.0,1.0,0.007313409657,0.2058801
704,40.0,0.4,26.0,1.0,0.07221438339,0.19795212
705,4.0,0.5,26.0,1.0,1.992264877,1.8541008
706,13.0,0.5,26.0,1.0,0.1365928669,0.3243866
707,22.0,0.5,26.0,1.0,0.009754042654,0.3209522
708,31.0,0.5,26.0,1.0,0.1575587458,0.32705784
709,40.0,0.5,26.0,1.0,0.3064006898,0.46248582
710,4.0,0.6,26.0,1.0,2.182616879,1.900879
711,13.0,0.6,26.0,1.0,0.3647405018,0.3431468
712,22.0,0.6,26.0,1.0,0.2910871266,0.36620682
713,31.0,0.6,26.0,1.0,0.5020085212,0.48276103
714,40.0,0.6,26.0,1.0,0.7139423068,0.7620057
715,4.0,0.7,26.0,1.0,2.091456012,1.8985559
716,13.0,0.7,26.0,1.0,0.7254531874,0.7688
717,22.0,0.7,26.0,1.0,0.7285499747,0.82521504
718,31.0,0.7,26.0,1.0,1.003327585,1.0484997
719,40.0,0.7,26.0,1.0,1.279186347,1.2935619
720,4.0,0.2,32.0,1.0,1.073858296,0.9618637
721,13.0,0.2,32.0,1.0,0.04231281998,0.060484074
722,22.0,0.2,32.0,1.0,0.1811582524,0.14508691
723,31.0,0.2,32.0,1.0,0.1964280312,0.18486029
724,40.0,0.2,32.0,1.0,0.209178795,0.22463357
725,4.0,0.3,32.0,1.0,1.315113971,1.2133886
726,13.0,0.3,32.0,1.0,0.01806185938,0.07717098
727,22.0,0.3,32.0,1.0,0.3013335365,0.11694435
728,31.0,0.3,32.0,1.0,0.2795000294,0.15671764
729,40.0,0.3,32.0,1.0,0.2533816263,0.19649124
730,4.0,0.4,32.0,1.0,1.686129533,1.6110363
731,13.0,0.4,32.0,1.0,0.1634575135,0.17028303
732,22.0,0.4,32.0,1.0,0.496501877,0.17276989
733,31.0,0.4,32.0,1.0,0.4194806884,0.16940096
734,40.0,0.4,32.0,1.0,0.3355581773,0.17498198
735,4.0,0.5,32.0,1.0,2.092036034,1.8906443
736,13.0,0.5,32.0,1.0,0.07445022581,0.123261794
737,22.0,0.5,32.0,1.0,0.4056700359,0.11982723
738,31.0,0.5,32.0,1.0,0.2673231301,0.1163926
739,40.0,0.5,32.0,1.0,0.1202197933,0.20136917
740,4.0,0.6,32.0,1.0,2.100574639,1.9912094
741,13.0,0.6,32.0,1.0,0.2657558581,0.20906614
742,22.0,0.6,32.0,1.0,0.005267681875,0.13217193
743,31.0,0.6,32.0,1.0,0.1978240655,0.22988684
744,40.0,0.6,32.0,1.0,0.376664712,0.40494755
745,4.0,0.7,32.0,1.0,1.983089601,1.9288441
746,13.0,0.7,32.0,1.0,0.7218444904,0.7024391
747,22.0,0.7,32.0,1.0,0.5354414483,0.55723715
748,31.0,0.7,32.0,1.0,0.7756462228,0.69873303
749,40.0,0.7,32.0,1.0,1.036510595,0.9485429
750,25.0,0.32,19.0,0.43,2.180721114,2.15251
751,15.0,0.41,12.0,0.47,1.665084599,1.6754738
752,12.0,0.32,31.0,0.46,2.016879368,1.9786997
753,22.0,0.45,23.0,0.45,1.573270012,1.6307634
754,6.0,0.64,23.0,0.83,1.770419339,1.7023457
755,13.0,0.21,34.0,0.34,3.084274407,3.2108085
756,29.0,0.47,16.0,0.49,1.753799506,1.7614126
757,24.0,0.33,19.0,0.38,2.287676626,2.2038622
758,12.0,0.44,22.0,0.63,1.283878682,1.2379823
759,14.0,0.58,24.0,0.65,0.9732178134,0.94702667
760,10.0,0.58,12.0,0.61,1.389372494,1.4905974
761,17.0,0.41,20.0,0.46,1.70479455,1.863851
762,25.21,0.29,8.82,0.46,1.502775649,1.5444716
763,22.72,0.4,8.04,0.47,1.595511389,1.6149744
764,14.0,0.27,23.0,0.37,2.64640854,2.4731562
765,6.37,0.31,25.98,0.73,1.696882473,1.6395808
766,28.0,0.4,15.0,0.43,1.956073356,1.95789
767,25.35,0.47,15.29,0.49,1.72741329,1.7208675
768,12.0,0.3,31.0,0.45,2.177212677,2.0868862
769,7.0,0.52,12.0,0.68,1.379308302,1.2913709
770,19.0,0.36,13.0,0.38,2.007054356,2.06338
771,23.6,0.33,8.05,0.45,1.561353853,1.5596802
772,11.0,0.65,22.0,0.75,1.116667491,1.1192231
773,13.0,0.33,17.0,0.45,1.98430942,1.9863935
774,22.0,0.38,21.0,0.4,1.973661816,2.034262
775,17.2,0.44,15.32,0.5,1.666432063,1.6384335
776,20.0,0.38,16.0,0.41,2.00643125,2.0121112
777,19.0,0.42,23.0,0.43,1.699301059,1.8123748
778,9.96,0.29,28.7,0.63,1.878625405,1.628873
779,24.28,0.29,25.15,0.32,2.599955916,2.4513295
780,14.0,0.5,13.0,0.5,1.59259448,1.5723305
781,27.75,0.34,8.2,0.42,1.700537647,1.7930615
782,17.0,0.37,13.0,0.37,2.00807772,2.0723157
783,22.0,0.31,25.0,0.31,2.510224456,2.4115982
784,19.0,0.39,16.0,0.41,1.983806322,1.9839112
785,4.0,0.29,14.0,0.34,2.402248208,2.4077451
786,11.78,0.39,18.78,0.52,1.71522808,1.7504526
787,20.77,0.23,25.79,0.24,3.025671672,3.1955872
788,9.0,0.57,14.0,0.59,1.472223422,1.4743726
789,25.16,0.38,17.06,0.4,2.052284042,2.0484128
790,9.0,0.68,29.0,0.76,1.458700363,1.2145936
791,26.0,0.3,19.0,0.32,2.561272282,2.3966973
792,9.95,0.27,15.84,0.41,2.07422009,2.1263497
793,11.0,0.54,31.0,0.7,0.9134568246,0.7546771
794,6.0,0.6,21.0,0.63,2.06571936,1.9429911
795,14.0,0.46,15.0,0.46,1.706349195,1.7077602
796,4.0,0.32,26.0,0.49,3.031611198,2.8898864
797,11.0,0.47,31.0,0.58,1.167780345,1.0268348
798,19.0,0.31,12.0,0.35,2.07024989,2.1765559
799,8.0,0.49,12.0,0.51,1.615318654,1.4857062
800,10.0,0.61,19.0,0.62,1.310642992,1.2974015
801,8.26,0.29,15.3,0.41,2.107085116,2.1051087
802,6.9,0.34,10.33,0.45,1.650446822,1.6313926
803,13.0,0.31,26.0,0.39,2.290663281,2.3335998
804,5.0,0.5,8.0,0.5,1.630467751,1.4240537
